"city","country","description","location","state","state_abbrev","longitude","latitude","city_longitude","city_latitude","",""
"Riverside","United States","Hallways -  numerous sightings of vanishing guests along hallways throughout hotel, particularly along Author's Row, covered hallway near Alice Miller's room, 2nd and 4th floor hallways (east-to-west) parallel to pool, service area hallway behind Mission dining room.","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","Mission Dining Room (a.k.a. 'Spanish Dining Room')  -  Apparition seen traveling near ceiling from entrance wall, near the patio, to the far back wall (south to north).","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","Rotunda -  limited sightings. Area was closed to public after re-opening but has since opened to retail space around 1997 or 1998.","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","Spanish Patio -  strong presences felt throughout, particularly in north-east cloister near the Lincoln bust. Mission-themed Glockenspiel was designed by Alice Miller who died just before it was completed. The clock is notorious for misbehaving.","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","St. Francis Chapel Courtyard -  strong presences experienced near left end of Flyer's Wall memorial.","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","Storage Building behind hotel (north side) - Attached by a small bridge to the main structure of the hotel, this small building has been closed to the public since re-opening with limited employee access. Numerous accounts of sightings and unexplained noises. A construction worker reportedly lost his life during reconstruction in the late '80s in this building.","Mission Inn","California","CA","-117.3763701","33.9841225","-117.3961564","33.9533487","",""
"Riverside","United States","Supposedly, the now dry riverbed used to house a green ""monster."" This ""monster"" was reportedly seen on one occasion when it came up on the bridge and attacked the passenger of a car. Green residue was the only evidence left behind on this meet-and-greet with civilization.","Riverside Bridge","California","CA","-117.3879232","33.9569357","-117.3961564","33.9533487","",""
"Riverside","United States","If you ever take the time to visit this location, it is said that late at night, old spirits can be seen walking the tops of the rough terrain. In your ramblings across the area, you are also likely to find a tiny picture encased in the jagged rock of Mt. Rubidoux, which appears to be a portrait of Jesus Christ. Not strange enough for you? It used to appear as the Mother Mary!","Mount Rubidoux","California","CA","-117.3931011","33.9839038","-117.3961564","33.9533487","",""
"Rubidoux","United States","between the hours of 1-3am on the east end of the mountain. Strange figures have been seen running and hiding as if playing a game, in groups of three. They have been described as elves/little people. They are known to throw small rocks in your direction, and stack small piles of rocks in a path you just have taken.","Mount Rubidoux","California","CA","-117.3931011","33.9839038","-117.4262714","33.9958669","",""
"Rialto","United States","After hours, the power has gone out in the store while neighboring businesses remain unaffected. Drop box doors have swung open by themselves and the sound of someone walking has been heard when no one is around. The specter even leaves footprints.","Blockbuster Video","California","CA","-117.397277","34.105393","-117.3703235","34.1064001","",""
"San Bernardino","United States","Go north on highway 18 towards Lake Arrowhead, turn right on ""old Waterman Canyon road"" drive until you get to the first small bridge, drive onto the bridge and stop, put your vehicle in neutral, on you will slowly begin to roll backwards uphill.","Gravity hill","California","CA","-117.402186","34.219779","-117.2897652","34.1083449","",""
"Corona","United States","A girl got dumped by her boyfriend and was driving real fast. There is a big bump in the street and she hit it and crashed into a tree and died. If you turn around and stop on the bump her spirit pushes you UPHILL. Handprints can be seen if your car is dirty. - June 2008 Update: Gravity hill is an optical illusion. Bring a carpenter's balance: it will measure the street going downhill. The reason you feel like you're going uphill is because of the angle of the slopes on each side of the road. in reality your vehicle is rolling downhill.","Gravity Hill","California","CA","-117.402186","34.219779","-117.5664384","33.8752935","",""
"Fontana","United States","maple elementary is haunted by this man who stays at the school in the boys bathroom and messes with the students and teachers during class time.","maple elementary","California","CA","-117.404151","34.087782","-117.435048","34.0922335","",""
"Fontana","United States","the hauntings take place between 11pm and 4am. You can hear footsteps when there is nobody there and in the bathrooms for both boys and girls you can hear the distinct sound of a toilets overflowing and even a conversation going on when both the bathrooms are locked. There are loud bangs in the night and the whispering and the strange feeling of another presence is felt.","Mary B. Lewis Elementary","California","CA","-117.4107829","34.0779457","-117.435048","34.0922335","",""
"Bloomington","United States","Rumors that Late at night in the Auditorium, Screams, footsteps can be heard. Also that Janitors would get pushed down stairs Unexpectedly. The story behind this is that a Drama Teacher working alone(supposedly) fell into the pit area and died(a mere 5 feet drop). Police said it was accidental. But her wrist's were broken, indicated she'd been pushed. The Auditorium is now dedicated to that Drama Teacher.","Bloomington High School","California","CA","-117.4142615","34.0577791","-117.3958797","34.07029","",""
"Fontana","United States","formerly Pic ""N"" Save stores - This is the BIG LOT'S store located off Sierra and Foothill Blvd. this store is haunted by several ghost or spirits. Many employees claim to have experienced hearing noises in the men's and women's restrooms things like something falling on the floor while being inside the one toilet stall and no one else inside the restroom and also the lights being flicked off by them selves inside the restroom while in use. There have also been noises and voices heard coming from the break room when the lights are off and no one is in there. Another area which is considered to be the area with the most activity is the stock room or warehouse in there several voices have been heard and noises of things falling inside and things like a former employee who was taking the trash to the back claims she walked into the warehouse and the light was turned off and as she was walking back out she felt something or someone pull her hair out of the bun when she walked out of there her hair was all messed up and her face was pale that was her last night working there. Several employees claim to be scared or nervous of walking into the warehouse at night. All these things happen at night when the store is closed and employees are cleaning up or late at night when graveyard employees are there. Non of the managers will support these accusations.","BIG LOT'S","California","CA","-117.4211087","34.1060252","-117.435048","34.0922335","",""
"Riverside","United States","Catacombs - Before the old mission style buildings were a college campus, they housed an insane asylum. In the early 1900's through the 1950's mentally insane patients walked the halls of the 4 story building. Under the building was a network of catacombs that allowed hospital workers to enter and exit the hospital once all the doors were locked. It is rumored that sometimes bad patients were taken down into the catacombs to be tortured. The basement of the college now holds offices, but also is where the entrance to the catacombs are located. Throughout the campus there are entrances to the catacombs as well. At night, one can hear knocking on the door to the catacombs in the basement and will feel a very cold presence. At random times the secret entrances will be found open with freezing cold air coming out of them. Students have reported going into th e catacombs and seeing the spirits of the patients from the asylum walking through the catacombs.","California Baptist University","California","CA","-117.4255596","33.9284067","-117.3961564","33.9533487","",""
"Corona","United States","Reports of eyes burning, dizziness, and the feeling of being pulled to a wooded area where reports of black floating apparitions. A trail goes past water towers after an hour of walking a place for campfire is found a circle of trees is present when all lights are off black apparitions can be seen going from tree to tree. They do not like bright flashlights, those who possess the brightest are pushed, kicked, dust is kicked up, other noises are heard. Going in a small group is recommended due to long walk. on other parts of the trail a blonde woman can be seen run between the trails, it never happens in same place twice. Extremely cold breezes flow past you at certain points.","Horse thieves Canyon Road","California","CA","-117.4294702","33.7287689","-117.5664384","33.8752935","",""
"Fontana","United States","They say in back of the school there was a little girl who would go on a tree(it supposedly had a tree house before) and would go on top of the tree when her parents would fight. That tree they said she would call her best friend until one day it was a windy day and she fell to her death. They say at night you can hear her crying for help and sometimes you can see her fall of the tree. She wears a little white dress and straight hair.","Mango Elementary School","California","CA","-117.4321585","34.1185382","-117.435048","34.0922335","",""
"Riverside","United States","Just one block north of the Mission Inn at 3563 Main Street is an antiques store called At The Villa. It is housed in an old building circa 1890, which was the original mercantile for Riverside. Objects move on their own accord and sometimes disappear only to reappear later in a different spot. There is sometimes a strong scent of perfume. A lady who had a shop at this location died violently in a car jacking in the mid 1990's and some say that it is her spirit, although it is an old building. When asked about this the staff will usually laugh a bit and tell you of a personal experience.","At the Villa","California","CA","-117.437132","33.926153","-117.3961564","33.9533487","",""
"Camp Pendleton","United States","Second story room in one of the barracks is haunted by the ghost of a Marine. He shot himself after finding out his fiancé left him. The ghost moves furniture, hums the song to ""Jeopardy"", and has struck another Marine sleeping in the room. People in the room feel the ghost is there watching them.","41 Area","California","CA","-117.4389352","33.2902183","-117.3811366","33.2295467","",""
"Riverside","United States","Call light turning on in room after patient passed away. Heavy medication door closing by itself on station 3.Many reports by staff of seeing a ghostly figure of a man who killed himself years ago on station 3.","Alta Vista Convalescing","California","CA","-117.4400226","33.928201","-117.3961564","33.9533487","",""
"Fontana","United States","Strange blue lights and many other occurrences. Sometimes there is banging from within the walls and tools ending up in weird places and no one knows how they got there. Many people say they have seen figures disappear and re-appear and voices in the catwalk when no one is up there. Legend says that a teenage actress went up into the catwalk trying to fix a light (for a tech buddy) and fell off the ladder and died instantly.","A.B. Miller High School Theater","California","CA","-117.4460949","34.130724","-117.435048","34.0922335","",""
"Fontana","United States","Sounds of construction work at the school. Rumor is that a construction worker died when it was built.","Tokay Elementary","California","CA","-117.4564188","34.1109121","-117.435048","34.0922335","",""
"Riverside","United States","The Avilas House - The Avilas House is an old mansion located in Indian Hills. At night, there have been sightings of an old woman walking the hallways and knocking on the door to the laundry room.","Indian Hills","California","CA","-117.458549","33.986162","-117.3961564","33.9533487","",""
"Fontana","United States","Formerly part of Route 66 - Between the cross streets Cherry and Citrus, a young man will appear wearing a striped shirt and carrying a long stick. He then crosses the street right as cars approach. When the car hits its breaks, the man disappears. Witnesses also claim to see the ghost walking along the right side of the road. He has a black dog at his side.","Foothill Boulevard","California","CA","-117.459483","34.1066098","-117.435048","34.0922335","",""
"Riverside","United States","Many employees have reported seeing a ""lady in a white dress"" in the ride park as well as one employee being physically pushed inside the Big Top restaurant. Sightings also include a spirit standing on the balcony above the Plaza Cafe. This spirit reportedly flew across to the trees when the employee looked up at it. The last experience was inside the arcade after hours. Reportedly an unseen spirit opened and closed the door by prize counter several times when there was no one around. This incident was heard and not seen. Strangely enough all sightings and experiences are by males and the spirits are reportedly female. No actual harm was done by the spirits. This area of land from the Tyler Mall to La Sierra Blvd was an old Indian Burial Ground. - In addition to what you already know about the park, a former employee also had an experience in the railroad trac ks tunnel in the park. After hours when all the guests are gone the cafe would close. when any of the employees would be sent to toss away the trash in the far end of the parking lot, they would have to go in pairs. Reason being is because when you cross the tracks near the cafe you can see the silhouettes of Indian women walking around. Sometimes you can also see what appears to be a fire burning in the far corner, but when you go to check it out it dims away.","Castle Park","California","CA","-117.4670995","33.9028443","-117.3961564","33.9533487","",""
"Fontana","United States","In the quad by the lunch tables there sits a little girl crying bouncing a ball. She'll ask you to play with her and if you say no she will cry blood and start to follow you. This happens at sun set when there are no employees.","Sequoia Middle School","California","CA","-117.4761582","34.0816807","-117.435048","34.0922335","",""
"Corona","United States","February 2004 Update: formerly listed as El Cerrito - Live Oak Inn - As the story goes, back in 1988, a young waitress named Michelle was strangled to death and left in the trunk of an old car behind the back patio of the inn. Rumor has it that although the dishwasher is still doing time for her murder, it was actually the cook that committed the crime. Regardless of who killed Michelle and why, she still haunts Live Oak. The new owner doesn't mind and comments that, ""People say she is a really nice girl and even shy."" He has never seen her, but has had many complaints from customers that she continually flushes toilets close to closing time. Perhaps even more spine tingling than Michelle's story is the fact that in the Inn's earlier days, people were often hung from the twisted oak tree in front. If you look closely, you can see the tree growing arou nd an old noose!!!- February 2004 additional info – a bartender / waitress reports she is a witness to the rumors of Michelle the ghost, and of the old owner ""Larry"" who shot himself in the office. She has worked there for almost a year and Michelle has stopped flushing the toilet and started ringing the food bell constantly during all hours. She has seen shadows of her out of the corner of her eye when she is there alone. one of the cooks son's talks to the ghost but it is supposed to be a secret and he can't tell us who he is talking to. he also sees a man in black who walks around. the noose is visible in the tree and she says she has touched it to see what it was made of. it was almost rope like wire and it is grown into the tree.","J J Live Oak Steakhouse","California","CA","-117.5042616","33.8048627","-117.5664384","33.8752935","",""
"Fontana","United States","In the old auditorium, next to what is now a cafeteria, there is a narrow staircase leading up to an upstairs dressing room. The room contains one window and you will sometimes catch a glimpse of a young Indian girl standing at that window. The story states that this young girl of the 70's committed suicide by hanging herself and was found when someone of the staff spotted a body hanging through the window.","Etiwanda Intermediate School","California","CA","-117.5231085","34.1279187","-117.435048","34.0922335","",""
"Rancho Cucamonga","United States","Has been removed","Joseph Filippi Winery","California","CA","-117.5323013","34.1213949","-117.5931084","34.1063989","",""
"Ontario","United States","hearing foot steps on the 2nd floor when no one there. seeing shadows in the southwest 2nd floor corner window. glancing up at the 3rd floor south corner window. and certain areas of the basement cold spots. lights flickering, fire alarms being set off all happening all times of the day. all witness by neighbors, staff at the old hotel and passer.","Hotel Beverly","California","CA","-117.549816","34.069373","-117.6508876","34.0633443","",""
"Azusa","United States","Haunted by a transient and his dog seen walking the tracks at night.","Railroad Overpass Bridge","California","CA","-117.5599054","34.0918191","-117.9075627","34.1336186","",""
"Corona","United States","There are many stories, one night in the kitchen area a few of the workers were doing side work and a few others were in the bar after closing and a big metal pie cutter flew off a shelf onto the counter on the opposite side of the room a few feet away. There were now many witnesses who believed that strange things were occurring at our store. Servers reported trays flying at their heads in the dishwasher's area and salt and peppershakers once empty were full. The spookiest always happened to the vendors who cleaned the restaurant. The carpets would be cleaned on a monthly basis and they would always come in pairs. Something would always happen, strange sounds, floating balloons, TV's being turned on, etc. All of these things could be explained by scientific methods: electric currents and helium filled balloons losing air. Whatever was going on in that building after the emplo yees left was bad enough that the carpet cleaners would never come alone. On the occasions that they would come alone, they would come right at closing and be done before we would finish closing the store. On one occasion a lone carpet cleaner decided he would do it by himself after the employees left the building, saying that all the stories were hogwash. The next morning the opening manager found him in his truck in the parking lot with all of his carpet cleaning materials left inside of the building. He refused to step foot into the restaurant and complete the job. He wanted to get his equipment and get out. Seems while he was in the building the entities played with him more than they played with any one else. As he was shampooing the carpets things were being written by a nonexistent finger in the soap, chairs were moved in the dining room and salt and peppershakers flew at him. The carpet guys from then on always came promptly at closing and no one was left alone in th e building.","Marie Callender's","California","CA","-117.5638325","33.8861742","-117.5664384","33.8752935","",""
"San Clemente","United States","an Indian woman has been seen in the brush filled savannah between the tee and fairway apron. Generally a very faint image of the native American appears in the morning and very late afternoon.","Talega golf course, hole two (par 5 uphill)","California","CA","-117.5961415","33.463153","-117.6126004","33.4273521","",""
"Ontario","United States","There is a tree that grew up in a big open field where the bodies of an airline crash were laid. The tree grew twisted and has a depth to it. As you approach the tree you will hear the ruffling of thousands of crows on branches but you cannot see them.","Field between airport and freeway","California","CA","-117.598057","34.0559781","-117.6508876","34.0633443","",""
"Rancho Palos Verdes","United States","Spike is a vacant lot at the end of Lunada bay. It is surrounded by houses. But the lot remains vacant, even though they have tried to build on it several times. When you go near there you start to feel like you want to vomit. Also cars have been known to stop dead in front of the lot. Urban Legend has it that a teenager went crazy and killed his family with a axe. Also legend states that on certain nights you can hear screams and see a ghostly house through the thick fog. There used to be an iron gate that had sharp black spikes sticking out of it. However this was long ago and has since been dismantled. this is a local legend, kind of like the Vanderlip house.","Spike","California","CA","-117.5994453","33.6432668","-118.3870173","33.7444613","",""
"Rancho Cucamonga","United States","The men's restroom in Red Hill Park by the Auditorium is very real. When being inside, you will see a corpse of a dead dog dripping with blood and then it will disappear. This happens between the hours of 3 am and 345 am. Also a little boy is caught scraping his knees and he slides across the bathroom floor.","Red Hill Park","California","CA","-117.6119451","34.1175734","-117.5931084","34.1063989","",""
"Ontario","United States","In the ladies room back in the lay-away dept. if you are in the restroom alone. once you are in the stall the other stall door will slam shut with no one else in the restroom.","Kmart on 4th st.","California","CA","-117.6182184","34.0767165","-117.6508876","34.0633443","",""
"San Clemente","United States","blood will sometimes appear on the train tracks near Cottons where a surfer was killed while attempting to cross the railway to the water. His ghost has also been ‘alleged’ to have actually saved other surfers from harms way in the general area… ghost of the lost surfer.","Train Tracks near Cottons","California","CA","-117.6197983","33.419595","-117.6126004","33.4273521","",""
"Mount Baldy","United States","has a ghost of a man wearing all white. He seems to be from back in the mining days. He is wearing a white suit, with a white hat. He has a mustache as well.","Ski Lifts","California","CA","-117.6219104","34.2700828","-117.6589752","34.2363809","",""
"Rancho Cucamonga","United States","The sycamore inn, now a great steak house along the old route 66, was established in 1848 but the original inn burned down and was rebuilt across the street. Apparitions of a man dressed in cowboy style clothes. www.thesycamoreinn.com","The Sycamore Inn","California","CA","-117.6234244","34.1056107","-117.5931084","34.1063989","",""
"Orange County","United States","In Las Flores there has been some witch craft going on and it has been terrible. People or ghosts have been tearing down street lights, lamp poses, etc. It has to be haunted if its not than who is doing all this stuff.","Las Flores","California","CA","-117.6267159","33.5880791","-117.8311428","33.7174708","",""
"Ontario","United States","Center - A little girl about 7 or 8 years old was raped and killed there. Sightings of her occur after 10:00 p.m. Where she hides behind trees, people say its because she wants to play Hide-and-seek with you.","Bon View Park","California","CA","-117.6376751","34.0525877","-117.6508876","34.0633443","",""
"San Clemente","United States","Sewer pipes running through the Shorecliffs golf course have images of children floating through the walls and sometimes walking in the tunnels. Laughter and crying are often heard with no explanation. Also growling animals are heard snarling and whimpering as if in combat and being killed.","Shorecliffs Golf Course","California","CA","-117.6458542","33.4528035","-117.6126004","33.4273521","",""
"Ontario","United States","When in the auditorium the lights go on an off by themselves and if you are going under the auditorium in the old bomb shelters where props are kept a green light is following you. It is said that it is a student who one night was in the auditorium on the stage and fell into the pit. Also up in the light room a girl haunts after committing suicide in the auditorium off the balcony.","Chaffey High School","California","CA","-117.6525556","34.0799599","-117.6508876","34.0633443","",""
"Upland","United States","It has been said that a ghostly figure wanders the hallways and can be seen in the dark room that is not used anymore. Also, books fall off the shelves in the library and voices can be heard when no one is around in the office.","Pioneer Junior High School","California","CA","-117.6541915","34.1291342","-117.6483876","34.09751","",""
"Ridgecrest","United States","There are two ghosts in the lecture center. One man died when he fell off some scaffold and dropped 100 feet on his head during the building of the auditorium. The second man was an actor in a play by the school's drama club. A scene where the main character was shot was tragically ended when another member of the club put a live bullet in the prop gun for the play. Custodians in the building report lights being turned back on after several attempts to turn them off. And a seat on the left side has cold areas noticed by anyone who sits there. During plays where a scene is very sad, the left curtain blows when there is no draft.","Burroughs High School Lecture Center","California","CA","-117.6594539","35.6359364","-117.6708966","35.6224561","",""
"Ontario","United States","This is a fairly new antique store on Euclid Ave. in Downtown Ontario. If you look real closely in one of the old mirrors you can see the ghost of a young girl, maybe six or seven years old. She is smiling at you and giggling. Also, in the underground portion of the store you can hear glass shattering and a woman's frustrated screams but when you go look to see what's going on, nobody's there and no glass has been shattered.","Antique Underground","California","CA","-117.6602106","34.0618351","-117.6508876","34.0633443","",""
"Irvine","United States","It's located behind Irvine park and the signs that say ""no authorities will help you beyond this point"" is a main reason why people don't go in. It's supposed to be home of the ""KKK"" and strange sightings and noises are heard such as running and screaming. Also lion type figures are said to be walking on the mountain tops. ""Warning"" If you do plan to go take flashlights because it's is freakishly dark (a sort of weapon would also be a good idea)","BlackStar Canyon","California","CA","-117.6607464","33.7881185","-117.8265049","33.6845673","",""
"San Juan Capistrano","United States","Reports of an Indian girl seen by some at her memorial. Also spotted shadows of people and heard children crying in the cemetery where a surprisingly large number of people were buried in a surprisingly small space.","San Juan Capistrano Mission","California","CA","-117.6625408","33.5020224","-117.6627655","33.5019027","",""
"San Juan Capistrano","United States","Train Caboose 1869 -  This is a red caboose located in the parking lot to the right. It is a part of a restaurant made out of an old train set. The second window from the right, there is a faint light seen peering through the window, late at night. There are no other lights on in the empty caboose. If there were a light on in the caboose, the other windows would appear to have the same glow.","Old Town San Jaun / Train Tracks","California","CA","-117.6639534","33.5015647","-117.6627655","33.5019027","",""
"San Juan Capistrano","United States","Woman in White.  Seen in park setting near a lone drinking fountain. It has been a personal experience of mine to see her kneeling and praying facing the fountain. She then rises slowly and advances towards you with a sense of urgency, flowing like a white handkerchief in the wind, even when there is no wind. She then dissipates.","Old Town San Jaun / Train Tracks","California","CA","-117.6639534","33.5015647","-117.6627655","33.5019027","",""
"Upland","United States","Park road is located in the San Antonio Heights area of Upland. People have reported seeing the apparition of an old man standing in the middle of the Park Road/Mountain Ave. intersection. If you stop at the intersection, he will come up to your car and shake it, moaning and groaning.","Park Road","California","CA","-117.6665507","34.1520245","-117.6483876","34.09751","",""
"Ontario","United States","When you are alone at night you will hear footsteps like someone else is in the restaurant. Sometimes when your on the other side of the ice machine ice will fling over at you and no one is there.  A ghost waitress was seen walking into the back of the new room.  Also there have been reports of hearing her talking to customers when no one was there. If you go into the restroom alone and sit in the middle stall the other doors on the stalls will open and close very rapidly.  Also, if you are sitting in there someone will flush the toilets and turn on the water.  Like someone is washing their hands.  Then you hear the door open when no one was there. In the banquet room if you are cleaning tables alone you can hear thumping and scratching coming from the roof.  People have also been pushed in the kitchen by the lockers.","Vince's Spaghetti","California","CA","-117.672985","34.0635838","-117.6508876","34.0633443","",""
"Orange County","United States","The site of multiple Indian massacres dating back to the time of Spanish occupation, Blackstar Canyon is home to many strange phenomena. Indians said to have been spotted both roaming the ridges on horseback and walking the creek for a few steps before disappearing completely. Many night hikers report the feeling of being watched, and the sounds of an invisible presence pacing them shortly off the trail. Screams and howls haunt the night along with the faint chants of an age and people long past. Note: If you are planning an expedition to Blackstar Canyon, travel in groups as it is a very dangerous place, and pay no mind to the homemade ""Private Property"" signs. The Orange County Sheriffs Office has confirmed that all of the trail is in fact open to the public, and those signs were hung some time ago by squatters attempting to keep people off the lan d.","Black Star Canyon","California","CA","-117.6822733","33.773351","-117.8311428","33.7174708","",""
"Chino","United States","Story is a man who escaped prison stalked a family killing the mother, father and sister and just cut the boy's ears. They say if you go to the house you will see blood prints and the ghosts of the family. - July 2005 Update: recently the sole survivor made a statement recounting the murder. You can read it here http://lang.dailybulletin.com/projects/cooperwatch/news/042305_joshua_statement.asp Warning this article is a bit graphic.","Chino Hills","California","CA","-117.686945","33.9598379","-117.688944","34.0122346","",""
"Claremont","United States","there is said to be a small girl, maybe five to six years of age, who sits by a pond and watches the fish while crying. She is said to be wearing Native American clothing, most likely she is a Cauhillan, (pronounced Kaheeya), a tribe of Native Americans who once lived on that land. Incidences include, cold spots, sudden strong gusts of wind, and crying sounds.","Botanical Garden Girl","California","CA","-117.7147498","34.1106126","-117.7197785","34.0966764","",""
"Lake Forrest","United States","Employees have felt uneasy around the bottom floor rooms. EVP has been recorded and Photos have been taken in one of the rooms. Cold spots in the kitchen area of the room.","Best Western Hotel","California","CA","-117.7156933","33.625787","-117.6861023","33.6469437","",""
"Claremont","United States","while walking this path in the late evening hours, strange noises that sound like scratching and footsteps coming from bushes on the sides of the trail have been heard. Also there have been reports of cloud formations forming skull-like shapes. Also, when no one is around you, sometimes shadowy figures can be seen walking behind you, sometimes hiding behind bushes. The crackling sounds from the power lines overhead don't help the experience too much, adding a deeper eeriness to this location.","Thompson Creek Trail (east path)","California","CA","-117.7179162","34.1289087","-117.7197785","34.0966764","",""
"Laguna Woods","United States","Leisure World - Theater - Footsteps are heard in the booth by staff in the offices below, especially when there is no one in the building. Technicians have reported someone looking over their shoulders during shows. Opinion has it that this is 'Bud', a former printer who moved to Leisure World in the mid 60's and worked in the theater as its first tech.","formerly Laguna Hills","California","CA","-117.719212","33.624022","-117.7251162","33.6101702","",""
"Claremont","United States","there are several ghosts that haunt this old school house, several people have heard children's voices when no one is around and others have seen a white mist walking around. Doors fly open by themselves. Also there is always a feeling of being watched.","Griswold's old school house","California","CA","-117.7196917","34.1023892","-117.7197785","34.0966764","",""
"Claremont","United States","In the old gym of CHS, many have heard legends of the spirit of a former student. Some stories involve numerous reports of ""troubled/desperate whispering"", one entire P.E. class claims to have heard prolonged screaming from under the bleachers, but finding no source, and some students have been physically pinned by the ghost. There is a name burned into the floor of the gym, students believe it is the name of the ghosts.","Claremont High School","California","CA","-117.7219428","34.1126312","-117.7197785","34.0966764","",""
"Pomona","United States","in the band room there are 2 ghosts. One of them haunts the closet, when someone is changing by themselves they have a feeling of being watched. The other haunts the back (front) left door, when there is no wind at all the door either swings open or slams shut all of a sudden and sometimes it refuses to open even if you pull/push on it. - April Update: Located behind the school is an empty lot, which is what remains of Palomares Cemetery. Many believe this is why there are disturbances at the school. The only sign that the cemetery was there is a very small park (the size of a bathroom) and plaque located on the east side of the school.","Pomona High School","California","CA","-117.7401771","34.0858778","-117.7499909","34.055103","",""
"Valencia","United States","Ghosts everywhere. You can hear people chasing you. It was an old hospital that was closed but nobody knows why. It is two floors and they opened the bottom floor back up as a hospital but the top floor is definitely haunted.","Olive Vista Hospital","California","CA","-117.7415522","34.0293278","-118.5713823","34.456151","",""
"Fullerton","United States","The spirit of a little girl who was murdered in the ravine next to the house has been said to wander the house at night, sometimes turning on water taps, turning on and off lights, opening and shutting cabinets. Sometimes her laughter is heard in summer afternoons.","Phi Kappa Tau Fraternity House","California","CA","-117.753798","34.061101","-117.9242123","33.8703645","",""
"Laguna Hills","United States","Story is that a little girl that ran away from home to her school because her parents where fighting. She sat on the swing crying. The next morning the custodian found her, evidently she had died of hypothermia. Reports of hearing and seeing a little girl in the play ground at night.","Top of the World","California","CA","-117.7608744","33.5575886","-117.6986604","33.5916433","",""
"Orange County","United States","There is said to be a woman in white roaming the cemetery. She usually rests in one place. People have witnessed a candle burning at all hours of the night, even when the wind picks up. The candle flame appears to change color and shape, not actually flickering, but changing shapes. It will go from being a complete circle, to a half circle with a defined edge to being tear shaped. This light is in the same place every time.","Holy Sepulcher Cemetery","California","CA","-117.7689903","33.8040409","-117.8311428","33.7174708","",""
"Irvine","United States","Oriental Man walking his dog, and practicing his golf swings walks by the pool areas almost every night at 10:30pm.","Orange Tree patio homes","California","CA","-117.7764109","33.6602327","-117.8265049","33.6845673","",""
"Irvine","United States","A very talented drama student died suddenly back in the 1970's. To this day, people working in the theatre at night say that the friendly spirit often sits in the center of the house and can sometimes be seen as a green faintly glowing region of the seating.","Irvine High School Theatre","California","CA","-117.7820474","33.7030042","-117.8265049","33.6845673","",""
"Yorba Linda","United States","haunted by ""The Pink Lady."" The origin of the pink lady is somewhat a mystery, but she appears on the night of June 15 every other year. On these occasions, curious locals can often be found keeping watch around the cemetery, hoping to catch a glimpse of her. There is a story about her death. On prom night, her and her boyfriend were on they're way to the dance, on Orangethorpe St. her boyfriend pushed her out of their carriage and onto the train tracks, where she was killed by an on coming train. The reason people call her ""the pink lady"" is because she was wearing a pink dress on the night of her death. if you want to know more about her, just go to the Yorba Linda library and look in the old newspaper section.","The Yorba Family Cemetery","California","CA","-117.7836138","33.8646518","-117.8132571","33.8885035","",""
"La Verne","United States","Towards dusk a large, fast moving white mist-like cloud can be seen moving across campus in the direction of the football field. It has also been observed moving across the football field. The 400 building towards the south of the school nearby by the gym is rumored to be haunted by an unknown spirit. Late at night, it's rumored you can see the hallway lights turn on by themselves and then see a shadow walking the hallway, but there's nobody there when one tries to look.","Damien High School","California","CA","-117.7874815","34.1042871","-117.7678355","34.1008426","",""
"Pomona","United States","When it is in the night you could hear the wind and you suddenly feel like someone is watching and its a shape of a girl with red eyes.","Ganesha High","California","CA","-117.79038","34.06901","-117.7499909","34.055103","",""
"Cerro Gordo","United States","Beautiful semi-ghost town in the Inyo Mountains east of Lone Pine. The Belshaw House has shapes that are seen out of the corner of the eye and electrical effects like TVs, lights flickering, etc.","Belshaw House","California","CA","-117.791744","36.5393799","-117.791744","36.5393799","",""
"Cerro Gordo","United States","said to have a ghost that appears as a glowing mass in last room on the left. Main kitchen has ghost/lights and there are photos on display of this.","Bunkhouse","California","CA","-117.791744","36.5393799","-117.791744","36.5393799","",""
"Pomona","United States","Update: This cemetery is now closed to the public, because of vandalism the police will be called. - This cemetery was the original Old Settler's cemetery from the Mid 1800's. It's been the site of a lot of vandalism over the years. At night a male figure can sometimes be seen walking through the small cemetery disappearing into a headstone. The cemetery will be very still and quiet, strangely quiet considering it is under a freeway. If respect is given, it will remain quiet, but as soon as anyone starts messing around, a hot wind picks up out of nowhere. It can only be felt in the cemetery. Items have been reported to disappear and reappear in other parts of the cemetery that had not been visited.","Spadra Cemetery","California","CA","-117.8000587","34.0522329","-117.7499909","34.055103","",""
"Anaheim Hills","United States","June 2008 Removed. No Murder has happened here. A teacher was, however, dragged out of a classroom and taken away in a straight jacket in 1978 or 1979 after having a mental breakdown, climbing up a wall shouting ""There're going to kill me...""","Esperanza High School","California","CA","-117.8028299","33.869256","-117.7490656","33.8508021","",""
